EmpID,Term,DateofHire,Salary,DeptID,PositionID,ManagerID,SpecialProjectsCount
10270,Yes,2011-01-10,74813,5,20,11,0
10045,No,2015-03-30,76029,3,15,7,7
10205,No,2011-07-05,57859,6,3,17,0
10014,Yes,2012-08-13,58523,5,19,20,0
10144,No,2011-08-01,88976,5,17,2,0
10253,No,2012-03-05,55875,6,3,17,0
10118,Yes,2015-02-16,113999,3,8,4,7
10022,Yes,2011-09-26,49773,5,19,18,0
10183,No,2015-07-05,62068,5,19,22,0
10190,No,2014-08-18,66541,5,20,19,0
10274,Yes,2011-09-26,80512,5,18,2,0
10293,Yes,2012-08-13,50274,5,19,16,0
10172,No,2017-02-15,84903,3,22,13,7
10127,No,2015-03-30,107226,3,28,7,8
10072,Yes,2011-01-10,58371,5,19,39,0
10048,Yes,2011-05-16,55140,5,19,11,0
10204,Yes,2011-01-10,58062,5,19,19,0
10264,Yes,2012-01-09,59728,5,19,19,0
10033,Yes,2013-01-07,70507,5,20,12,0
10174,No,2014-09-29,60446,5,20,14,0
10135,No,2014-07-07,65893,5,20,20,0
10301,Yes,2008-09-02,48513,5,19,12,0
10010,No,2010-04-10,220450,3,6,2,6
10043,No,2015-03-30,89292,3,9,4,5
10271,No,2014-09-29,45046,5,19,14,0
